cgid,chr,pos,strand,Type,Islands_Name,Relation_to_Island,UCSC_RefGene_Name,UCSC_RefGene_Accession,UCSC_RefGene_Group
cg12923271,chr2,43823227,+,I,chr2:43822928-43823370,Island,THADA;THADA,NM_001083953;NM_022065,TSS200;TSS200
cg12925764,chr15,75018266,+,I,chr15:75018186-75019336,Island,CYP1A1,NM_000499,TSS1500
cg12926934,chr2,86422294,+,I,chr2:86422068-86422858,Island,IMMT;IMMT;IMMT,NM_006839;NM_001100170;NM_001100169,Body;Body;Body
cg12937034,chr11,118662123,+,I,chr11:118661305-118663026,Island,DDX6,NM_004397,TSS200
cg12937378,chr20,57606993,+,II,chr20:57607045-57607782,N_Shore,ATP5E;ATP5E,NM_001001977;NM_006886,Body;Body
cg12939436,chr13,29233288,-,I,chr13:29233148-29233513,Island,POMP;POMP,NM_015932;NM_015932,5'UTR;1stExon
cg12949807,chr8,12613141,+,I,chr8:12611609-12613562,Island,LONRF1,NM_152271,TSS200
cg12963312,chr6,52441723,-,I,chr6:52441269-52441793,Island,TRAM2;TRAM2,NM_012288;NM_012288,5'UTR;1stExon
cg12963850,chr22,42467094,-,I,chr22:42466407-42467121,Island,NAGA,NM_000262,TSS1500
cg12967001,chr18,5544089,+,I,chr18:5543437-5544241,Island,EPB41L3,NM_012307,TSS200
cg12970695,chr14,36002860,+,I,chr14:36002598-36005013,Island,INSM2,NM_032594,TSS1500
cg12974756,chr20,55043516,+,I,chr20:55043375-55043766,Island,C20orf43,NM_016407,TSS200
cg12986338,chr7,32338950,-,I,chr7:32337983-32338725,S_Shore,,,
cg12990392,chr8,42397159,+,I,chr8:42396235-42397195,Island,C8orf40;C8orf40;C8orf40;C8orf40;SLC20A2;C8orf40;C8orf40,NM_001135675;NM_001135674;NM_138436;NM_001135676;NM_006749;NM_001135674;NM_001135675,5'UTR;1stExon;5'UTR;5'UTR;TSS200;5'UTR;1stExon
cg12999837,chr17,73267436,+,I,chr17:73266340-73268052,Island,MIF4GD,NM_020679,TSS200
cg13001893,chr17,46184891,+,I,chr17:46184836-46185174,Island,SNX11;SNX11,NM_013323;NM_152244,TSS200;TSS200
cg13002346,chr7,99933968,-,I,chr7:99933238-99934087,Island,PILRB;PMS2L1;PILRB,NM_175047;NR_003613;NM_013440,5'UTR;TSS200;5'UTR
cg13016378,chr11,67159292,-,I,chr11:67159170-67159971,Island,RAD9A,NM_004584,TSS200
cg13017478,chr3,57199422,+,I,chr3:57198243-57199378,S_Shore,IL17RD,NM_017563,TSS200
cg13036321,chr4,166248467,+,I,chr4:166248454-166249063,Island,SC4MOL;SC4MOL,NM_006745;NM_001017369,TSS1500;TSS1500
cg13041975,chr2,99952790,+,I,chr2:99952488-99954400,Island,EIF5B;TXNDC9;TXNDC9,NM_015904;NM_005783;NM_005783,TSS1500;5'UTR;1stExon
cg13071210,chr3,169685088,+,I,chr3:169684394-169685006,S_Shore,LOC100128164;SEC62;LOC100128164,NR_027622;NM_003262;NR_024409,TSS1500;Body;TSS1500
cg13072238,chr3,49761600,-,I,chr3:49760863-49761895,Island,GMPPB;GMPPB,NM_013334;NM_021971,TSS1500;TSS1500
cg13085338,chr1,214776475,-,I,chr1:214776256-214776935,Island,CENPF,NM_016343,TSS200
cg13088206,chr1,236958344,+,II,chr1:236958314-236959202,Island,MTR,NM_000254,TSS1500
cg13096242,chr6,32941034,+,I,chr6:32939275-32940954,S_Shore,BRD2;BRD2,NM_001113182;NM_005104,Body;Body
cg13109300,chr12,49488587,+,I,chr12:49487963-49488202,S_Shore,DHH;DHH,NM_021044;NM_021044,5'UTR;1stExon
cg13115617,chr20,2632842,-,I,chr20:2632678-2633690,Island,MIR1292;NOP56;NOP56,NR_031699;NR_027700;NM_006392,TSS1500;TSS1500;TSS1500
cg13117369,chr11,64666136,-,I,chr11:64662462-64662880,S_Shelf,ATG2A,NM_015104,Body
cg13127713,chr4,25032488,-,I,chr4:25032028-25032311,S_Shore,LGI2,NM_018176,TSS200
cg13132716,chr1,249132749,-,I,chr1:249132080-249133310,Island,ZNF672;ZNF672,NM_024836;NM_024836,1stExon;5'UTR
cg13146426,chr11,122932858,-,I,chr11:122932173-122933803,Island,HSPA8;HSPA8,NM_153201;NM_006597,TSS200;TSS200
cg13148126,chr17,8924759,-,I,chr17:8924167-8926920,Island,NTN1,NM_004822,TSS200
cg13148824,chr12,57914715,+,I,chr12:57914385-57914820,Island,DDIT3,NM_004083,TSS1500
cg13163403,chr17,72744541,+,I,chr17:72744428-72745952,Island,SLC9A3R1,NM_004252,TSS1500
cg13174850,chr14,93673699,-,I,chr14:93673128-93673917,Island,C14orf142;UBR7;UBR7;UBR7,NM_032490;NM_001100417;NM_175748;NM_001100417,TSS1500;5'UTR;1stExon;1stExon
cg13175480,chr15,83680325,-,I,chr15:83680007-83680532,Island,C15orf40;C15orf40;C15orf40;C15orf40;C15orf40;C15orf40;C15orf40,NM_001160116;NM_001160113;NR_027650;NM_001160115;NM_144597;NM_001160114;NR_027649,1stExon;1stExon;Body;1stExon;1stExon;1stExon;Body
cg13177214,chr8,124429188,-,I,chr8:124428605-124429425,Island,WDYHV1,NM_018024,Body
cg13177830,chr8,145447959,-,I,chr8:145447159-145448799,Island,,,
cg13181079,chr11,125757629,-,I,chr11:125757055-125758107,Island,HYLS1;HYLS1;HYLS1,NM_001134793;NM_145014;NM_001134793,1stExon;5'UTR;5'UTR
cg13183628,chr1,1259698,+,I,chr1:1259643-1260635,Island,GLTPD1;CPSF3L,NM_001029885;NM_017871,TSS1500;Body
cg13184270,chr15,56757290,+,I,chr15:56757179-56757383,Island,MNS1;MNS1,NM_018365;NM_018365,1stExon;5'UTR
cg13197680,chr1,205180527,-,I,chr1:205179963-205180910,Island,DSTYK;DSTYK,NM_199462;NM_015375,1stExon;1stExon
cg13205784,chr7,91875234,-,I,chr7:91874781-91875851,Island,KRIT1;KRIT1;KRIT1;KRIT1;ANKIB1;KRIT1;KRIT1;KRIT1,NM_194455;NM_194456;NM_004912;NM_194456;NM_019004;NM_194454;NM_194455;NM_001013406,5'UTR;5'UTR;TSS200;1stExon;TSS1500;TSS200;1stExon;TSS200
cg13206302,chr5,138739960,-,II,chr5:138739492-138739912,S_Shore,SPATA24,NM_194296,TSS200
cg13214892,chr20,39766451,-,I,chr20:39765229-39766832,Island,PLCG1;PLCG1,NM_002660;NM_182811,1stExon;1stExon
cg13215869,chr2,47499680,+,I,chr2:47499464-47499813,Island,,,
cg13220109,chr10,126150491,-,I,chr10:126150243-126150740,Island,LHPP;LHPP,NM_001167880;NM_022126,1stExon;1stExon
cg13229655,chr1,10532570,+,I,chr1:10532177-10532800,Island,DFFA;DFFA;DFFA;DFFA,NM_213566;NM_004401;NM_213566;NM_004401,5'UTR;5'UTR;1stExon;1stExon
cg13235817,chr7,100494424,+,I,chr7:100492217-100494941,Island,ACHE;ACHE,NM_000665;NM_015831,TSS1500;TSS1500
cg13245912,chr11,63449340,+,I,chr11:63448704-63449386,Island,RTN3;RTN3;RTN3;RTN3,NM_006054;NM_201428;NM_201429;NM_201430,Body;Body;Body;Body
cg13246053,chr8,48921062,-,I,chr8:48920837-48921414,Island,UBE2V2,NM_003350,Body
cg13246654,chr4,114682613,-,I,chr4:114682069-114682886,Island,CAMK2D;CAMK2D;CAMK2D;CAMK2D;CAMK2D;CAMK2D;CAMK2D;CAMK2D;CAMK2D;CAMK2D;CAMK2D;CAMK2D,NM_172129;NM_001221;NM_172114;NM_172127;NM_001221;NM_172128;NM_172129;NM_172115;NM_172128;NM_172114;NM_172127;NM_172115,5'UTR;5'UTR;1stExon;1stExon;1stExon;5'UTR;1stExon;5'UTR;1stExon;5'UTR;5'UTR;1stExon
cg13250388,chr22,39641078,-,I,chr22:39638219-39640966,S_Shore,PDGFB,NM_002608,TSS200
cg13259811,chr8,22550831,-,I,chr8:22547486-22553427,Island,EGR3,NM_004430,TSS200
cg13261989,chr11,65029383,+,I,chr11:65029040-65029926,Island,POLA2,NM_002689,TSS200
cg13271632,chr13,26795768,-,I,chr13:26795809-26796712,N_Shore,RNF6;RNF6;RNF6;RNF6,NM_183044;NM_183043;NM_005977;NM_183044,1stExon;5'UTR;5'UTR;5'UTR
cg13284081,chr12,50677024,+,I,,OpenSea,LIMA1;LIMA1,NM_001113546;NM_016357,5'UTR;5'UTR
cg13286323,chr6,2999972,-,I,chr6:3000069-3000520,N_Shore,NQO2,NM_000904,TSS200
cg13292458,chr18,13726614,+,I,chr18:13725979-13727370,Island,RNMT;C18orf19;C18orf19,NM_003799;NM_001098801;NM_152352,TSS200;TSS200;TSS200
cg13293756,chr2,172778961,-,I,chr2:172778733-172779299,Island,HAT1;HAT1;HAT1,NM_003642;NR_027862;NM_003642,1stExon;Body;5'UTR
cg13300549,chr12,10365696,-,I,chr12:10365369-10365721,Island,GABARAPL1;GABARAPL1,NM_031412;NM_031412,1stExon;5'UTR
cg13303461,chr11,57335730,-,I,chr11:57334971-57335486,S_Shore,UBE2L6;UBE2L6,NM_004223;NM_198183,TSS1500;TSS1500
cg13305312,chr1,43824605,-,I,chr1:43824134-43825059,Island,CDC20,NM_001255,TSS200
cg13308525,chr11,1785414,-,I,chr11:1784805-1785553,Island,HCCA2;CTSD,NM_053005;NM_001909,Body;TSS200
cg13319049,chr4,39699555,-,I,chr4:39699359-39700214,Island,UBE2K;UBE2K;UBE2K,NM_001111113;NM_005339;NM_001111112,TSS200;TSS200;TSS200
cg13326172,chr17,34122745,+,I,chr17:34122024-34122801,Island,MMP28;MMP28,NM_001032278;NM_024302,TSS200;TSS200
cg13329852,chr13,50265193,+,I,chr13:50265224-50265598,N_Shore,EBPL,NM_032565,Body
cg13338302,chr7,86974956,+,I,chr7:86974740-86975088,Island,CROT;TP53TG1;CROT;CROT;CROT;CROT,NM_021151;NR_015381;NM_001143935;NR_026585;NM_001143935;NM_021151,5'UTR;TSS200;1stExon;Body;5'UTR;1stExon
cg13347514,chr12,89919213,+,I,chr12:89919012-89919904,Island,WDR51B;GALNT4,NM_172240;NM_003774,Body;TSS1500
cg13351114,chr6,31828340,+,I,chr6:31830299-31830948,N_Shore,NEU1,NM_000434,Body
cg13359134,chr18,67873058,+,I,chr18:67872521-67873358,Island,RTTN,NM_173630,TSS200
cg13361007,chr13,103450924,-,I,chr13:103450877-103453216,Island,BIVM;BIVM;KDELC1,NM_017693;NM_001159596;NM_024089,TSS1500;TSS1500;1stExon
cg13373897,chr20,3210075,-,I,chr20:3209813-3210080,Island,SLC4A11,NM_032034,Body
cg13374688,chr2,203103432,+,I,chr2:203102615-203103328,S_Shore,SUMO1;SUMO1;SUMO1,NM_001005782;NM_001005781;NM_003352,TSS200;TSS200;TSS200
cg13384867,chr19,39663807,-,I,chr19:39663600-39663815,Island,PAK4;PAK4;PAK4;PAK4;PAK4,NM_001014832;NM_001014835;NM_001014831;NM_005884;NM_001014834,Body;Body;Body;Body;Body
cg13392052,chr1,93427468,+,I,chr1:93426512-93427754,Island,FAM69A,NM_001006605,TSS1500
cg13392534,chr20,3827558,-,I,chr20:3827225-3828031,Island,MAVS,NM_020746,5'UTR
cg13395410,chr1,151881974,+,I,chr1:151881763-151882407,Island,THEM4;THEM4,NM_053055;NM_053055,5'UTR;1stExon
cg13396682,chr3,33481969,+,I,chr3:33480998-33482139,Island,UBP1;UBP1;UBP1,NM_001128160;NM_001128161;NM_014517,TSS200;TSS200;TSS200
cg13399569,chr15,59040869,-,II,chr15:59041081-59042283,N_Shore,ADAM10,NM_001110,Body
cg13401987,chr15,63569418,-,I,chr15:63569296-63570100,Island,APH1B;APH1B,NM_031301;NM_001145646,TSS1500;TSS1500
cg13421935,chr4,153700886,+,I,chr4:153700539-153701491,Island,ARFIP1;ARFIP1;TIGD4;ARFIP1,NM_001025593;NM_014447;NM_145720;NM_001025595,TSS1500;TSS1500;TSS200;TSS1500
cg13423076,chr18,47814178,+,I,chr18:47813434-47814546,Island,CXXC1;CXXC1;CXXC1;CXXC1,NM_014593;NM_001101654;NM_001101654;NM_014593,5'UTR;1stExon;5'UTR;1stExon
cg13433942,chr9,4679784,-,I,chr9:4679325-4679999,Island,CDC37L1,NM_017913,1stExon
cg13437711,chr1,91317248,+,I,chr1:91316249-91317390,Island,,,
cg13446200,chr1,36772095,+,I,chr1:36771830-36773009,Island,C1orf113;C1orf113,NM_024676;NM_001162530,TSS1500;Body
cg13447391,chr4,2061325,-,I,chr4:2059928-2063181,Island,NAT8L,NM_178557,1stExon
cg13447408,chr3,37284590,+,I,chr3:37284558-37285281,Island,GOLGA4,NM_002078,TSS200
cg13448378,chr8,103250761,+,I,chr8:103250753-103251209,Island,RRM2B,NM_015713,Body
cg13448401,chr16,46723048,+,I,chr16:46722564-46724107,Island,ORC6L;VPS35;VPS35,NM_014321;NM_018206;NM_018206,TSS1500;1stExon;5'UTR
cg13451025,chr8,53478074,-,I,chr8:53477544-53478627,Island,FAM150A,NM_207413,TSS200
cg13451220,chr12,104458073,-,II,chr12:104457766-104459087,Island,HCFC2,NM_013320,TSS200
cg13452400,chr2,7006280,+,I,chr2:7005163-7006340,Island,CMPK2,NM_207315,TSS1500
cg13455067,chr1,44063595,-,I,chr1:44063469-44063757,Island,PTPRF;PTPRF,NM_002840;NM_130440,Body;Body
cg13457700,chr10,5708797,+,II,chr10:5707980-5708798,Island,ASB13;ASB13,NR_024581;NM_024701,TSS1500;TSS1500
cg13458407,chr15,39873288,+,I,chr15:39872527-39873567,Island,THBS1;THBS1,NM_003246;NM_003246,1stExon;5'UTR
cg13458561,chr10,134558389,+,I,chr10:134555113-134555338,S_Shelf,INPP5A,NM_005539,Body
cg13464189,chr22,19705601,-,I,chr22:19705510-19706557,Island,5-Sep,NM_002688,Body
cg13469058,chr17,62833500,-,I,chr17:62832769-62833528,Island,PLEKHM1P,NR_024386,TSS200
cg13475031,chr9,110045295,-,I,chr9:110045112-110046303,Island,RAD23B,NM_002874,TSS1500
cg13479898,chr11,125757446,-,II,chr11:125757055-125758107,Island,HYLS1;HYLS1;HYLS1,NM_001134793;NM_145014;NM_001134793,1stExon;5'UTR;5'UTR
cg13497506,chr11,34127040,+,I,chr11:34126828-34127573,Island,NAT10;NAT10,NM_024662;NM_001144030,TSS200;TSS200
cg13499022,chr9,140473606,-,I,chr9:140473002-140473681,Island,WDR85,NM_138778,TSS1500
cg13508391,chr12,3068378,-,I,chr12:3067960-3069444,Island,TEAD4;TEAD4;TEAD4,NM_003213;NM_201441;NM_201443,TSS200;TSS200;TSS1500
cg13520315,chr14,24740853,-,I,chr14:24740564-24740942,Island,RABGGTA;RABGGTA,NM_182836;NM_004581,TSS200;TSS200
cg13520373,chr11,108463818,+,I,chr11:108463598-108464103,Island,EXPH5,NM_015065,Body
cg13521449,chr17,72209604,-,I,chr17:72209669-72210290,N_Shore,TTYH2;MGC16275,NM_032646;NR_026914,TSS200;TSS200
cg13526981,chr3,197463945,+,I,chr3:197463335-197464144,Island,KIAA0226;KIAA0226,NM_001145642;NM_014687,5'UTR;TSS200
cg13527630,chr4,76862276,+,I,chr4:76861089-76862426,Island,NAAA;NAAA,NM_014435;NM_001042402,TSS200;TSS200
cg13528015,chr2,37311377,+,I,chr2:37311072-37311893,Island,CCDC75;HEATR5B,NM_174931;NM_019024,TSS1500;5'UTR
cg13529726,chr8,144416767,+,I,chr8:144416712-144417054,Island,TOP1MT,NM_052963,Body
cg13529907,chr7,44621997,+,I,chr7:44621293-44622377,Island,TMED4,NM_182547,TSS200
cg13532571,chr12,25404300,+,I,,OpenSea,KRAS;KRAS,NM_004985;NM_033360,TSS1500;TSS1500
cg13533707,chr11,73309287,+,I,chr11:73308799-73309500,Island,FAM168A,NM_015159,TSS200
cg13536308,chr9,137030252,-,I,chr9:137028717-137030556,Island,RNU6ATAC,NR_023344,TSS1500
cg13542461,chr11,8285528,+,I,chr11:8284102-8285032,S_Shore,LMO1,NM_002315,TSS200
cg13547525,chr6,29944788,-,I,chr6:29944402-29945169,Island,HCG9,NR_028032,Body
cg13547577,chr2,45878859,-,I,chr2:45877178-45879685,Island,PRKCE,NM_005400,TSS200
cg13547925,chr1,42501737,-,I,chr1:42500855-42501980,Island,,,
cg13552315,chr22,17178751,+,I,chr22:17178519-17178805,Island,,,
cg13552710,chr2,30144547,+,I,chr2:30142831-30144624,Island,ALK,NM_004304,TSS200
cg13553473,chr6,33422300,-,I,chr6:33422046-33422530,Island,ZBTB9,NM_152735,TSS200
cg13558403,chr14,36989922,-,I,chr14:36986362-36990576,Island,NKX2-1;NKX2-1,NM_003317;NM_001079668,TSS1500;TSS1500
cg13575271,chr9,140008980,-,I,chr9:140008309-140009473,Island,DPP7,NM_013379,Body
cg13576809,chr2,219134942,+,I,chr2:219134787-219135393,Island,PNKD;AAMP;PNKD,NM_001077399;NM_001087;NM_015488,TSS200;TSS200;TSS200
cg13579574,chr15,75975227,+,I,chr15:75975005-75975363,Island,CSPG4,NM_001897,Body
cg13582072,chr13,108520252,-,I,chr13:108519292-108521063,Island,FAM155A,NM_001080396,TSS1500
cg13582233,chr14,94547446,+,I,chr14:94547001-94547665,Island,DDX24;IFI27L1;IFI27L1,NM_020414;NM_206949;NM_145249,5'UTR;TSS200;TSS200
cg13592003,chr8,146126815,+,I,chr8:146126088-146128055,Island,ZNF250;ZNF250;ZNF250;ZNF250,NM_001109689;NM_001109689;NM_021061;NM_021061,5'UTR;1stExon;1stExon;5'UTR
cg13595813,chr7,86974922,+,I,chr7:86974740-86975088,Island,TP53TG1;CROT;CROT;CROT,NR_015381;NM_021151;NR_026585;NM_001143935,TSS200;TSS200;TSS200;TSS200
cg13604811,chr6,29720802,+,I,chr6:29720381-29721101,Island,,,
cg13611226,chr9,125027073,+,I,chr9:125026828-125027250,Island,RBM18;MRRF;RBM18;RBM18;RBM18;MRRF,NR_027126;NM_138777;NR_027125;NM_033117;NM_033117;NM_199177,Body;TSS200;Body;1stExon;5'UTR;TSS200
cg13615036,chr15,91475826,-,I,chr15:91475626-91475926,Island,UNC45A;HDDC3,NM_001039675;NM_198527,5'UTR;TSS200
cg13629270,chr20,40246346,-,II,chr20:40246345-40247841,Island,CHD6,NM_032221,5'UTR
cg13635462,chr11,77790613,+,I,chr11:77790478-77791101,Island,NDUFC2,NM_004549,Body
cg13642149,chr11,67069017,-,I,chr11:67070807-67071801,N_Shore,ANKRD13D;ANKRD13D,NM_207354;NR_030767,Body;Body
cg13646645,chr6,28891088,+,I,chr6:28890951-28892013,Island,TRIM27,NM_006510,1stExon
cg13648312,chr6,29716597,+,I,chr6:29716468-29717158,Island,LOC285830;LOC285830,NR_026972;NR_026973,Body;Body
cg13648373,chr5,55291004,-,I,chr5:55290335-55291389,Island,IL6ST;IL6ST,NM_175767;NM_002184,TSS1500;TSS1500
cg13651446,chr10,17659145,-,I,chr10:17658665-17659639,Island,PTPLA,NM_014241,1stExon
cg13653482,chr9,103361209,-,I,chr9:103360955-103361312,Island,,,
cg13654253,chr5,131629910,-,I,chr5:131629230-131630797,Island,SLC22A4,NM_003059,TSS1500
cg13658921,chr2,136499517,-,I,chr2:136499145-136500144,Island,UBXN4,NM_014607,1stExon
cg13660664,chr10,102508607,+,I,chr10:102507482-102509646,Island,PAX2;PAX2;PAX2;PAX2;PAX2,NM_000278;NM_003987;NM_003989;NM_003988;NM_003990,Body;Body;Body;Body;Body
cg13660803,chr5,10441845,-,I,chr5:10441605-10442512,Island,ROPN1L,NM_031916,TSS200
cg13675469,chr1,174992539,-,I,chr1:174992365-174992796,Island,MRPS14,NM_022100,1stExon
cg13676983,chr17,64188108,+,I,chr17:64187712-64188586,Island,CCDC46,NM_145036,TSS200
cg13677111,chr13,37574825,+,I,chr13:37574792-37575223,Island,ALG5;EXOSC8;EXOSC8;ALG5,NM_001142364;NM_181503;NM_181503;NM_013338,TSS1500;1stExon;5'UTR;TSS1500
cg13677279,chr10,103911811,+,I,chr10:103911696-103912546,Island,NOLC1,NM_004741,TSS200
cg13683282,chr1,40723560,+,I,chr1:40723386-40723698,Island,ZMPSTE24,NM_005857,TSS200
cg13690354,chr2,75185874,+,I,chr2:75185567-75186177,Island,POLE4,NM_019896,1stExon
cg13701083,chr2,48338530,+,I,,OpenSea,,,
cg13701615,chr5,271609,+,I,chr5:271527-271956,Island,PDCD6,NM_013232,TSS200
cg13717333,chr12,122459966,+,I,,OpenSea,BCL7A;BCL7A;BCL7A;BCL7A,NM_001024808;NM_020993;NM_001024808;NM_020993,1stExon;5'UTR;5'UTR;1stExon
cg13724379,chr3,187457714,+,I,chr3:187457731-187457948,N_Shore,BCL6,NM_001706,5'UTR
cg13733797,chr8,121824218,-,I,chr8:121823534-121824720,Island,SNTB1;SNTB1,NM_021021;NM_021021,5'UTR;1stExon
cg13735453,chr14,95785780,-,I,chr14:95785752-95786151,Island,CLMN,NM_024734,Body
cg13735557,chr3,184290720,+,I,chr3:184290593-184290883,Island,EPHB3,NM_004443,Body
cg13736404,chr7,139044588,-,I,chr7:139043885-139045478,Island,LUC7L2,NM_016019,TSS200
cg13739116,chr9,139622701,+,I,chr9:139622242-139623428,Island,SNORA17;SNHG7;SNHG7;SNHG7,NR_002958;NR_024542;NR_024543;NR_003672,TSS1500;TSS200;TSS200;TSS200
cg13751265,chr17,72947651,+,I,,OpenSea,C17orf28,NM_030630,3'UTR
cg13756790,chr17,40273221,-,I,chr17:40274523-40275360,N_Shore,KAT2A,NM_021078,1stExon
cg13758646,chr9,101469711,+,I,chr9:101469579-101472154,Island,GABBR2,NM_005458,Body
cg13775575,chr19,48018329,+,I,chr19:48017717-48018782,Island,NAPA;NAPA,NM_003827;NM_003827,5'UTR;1stExon
cg13791589,chr1,205649091,+,II,chr1:205648975-205649903,Island,SLC45A3,NM_033102,5'UTR
cg13792025,chr7,66205470,-,I,chr7:66205245-66206565,Island,RABGEF1,NM_014504,TSS200
cg13795465,chr2,31457061,-,I,chr2:31456740-31457653,Island,EHD3;EHD3,NM_014600;NM_014600,1stExon;5'UTR
cg13799149,chr9,115095534,-,I,chr9:115095149-115095919,Island,ROD1;ROD1;ROD1,NM_001163790;NM_005156;NM_001163788,Body;Body;5'UTR
cg13799206,chr11,62105152,-,I,chr11:62104779-62105636,Island,ASRGL1;ASRGL1,NM_025080;NM_001083926,5'UTR;5'UTR
cg13802457,chr9,4298749,-,I,chr9:4297817-4300182,Island,GLIS3,NM_001042413,5'UTR
cg13817732,chr10,102046368,+,I,chr10:102046142-102046632,Island,BLOC1S2;BLOC1S2,NM_173809;NM_001001342,1stExon;TSS1500
cg13828592,chr12,122751068,+,I,chr12:122750769-122751228,Island,VPS33A,NM_022916,TSS200
cg13838528,chr11,8704374,-,II,chr11:8703783-8704616,Island,RPL27A;SNORA3,NM_000990;NR_002580,Body;TSS1500
cg13841734,chr4,129209112,-,I,chr4:129208297-129209780,Island,PGRMC2,NM_006320,TSS200
cg13844420,chr9,86595252,-,I,chr9:86594326-86596142,Island,HNRNPK;RMI1;HNRNPK;HNRNPK,NM_002140;NM_024945;NM_031262;NM_031263,5'UTR;TSS1500;5'UTR;TSS200
cg13845302,chr1,226249852,-,I,chr1:226249457-226251457,Island,LOC440926;H3F3A,NR_002315;NM_002107,TSS1500;TSS1500
cg13847963,chr1,24514220,+,I,chr1:24513540-24514477,Island,IL28RA;IL28RA;IL28RA,NM_173065;NM_173064;NM_170743,TSS1500;TSS1500;TSS1500
cg13857086,chr12,6580257,+,I,chr12:6579555-6580429,Island,VAMP1;VAMP1;VAMP1,NM_199245;NM_016830;NM_014231,TSS1500;TSS1500;TSS1500
cg13857689,chr1,26672613,+,I,chr1:26672445-26672650,Island,,,
cg13862210,chr1,11796076,-,I,chr1:11795975-11796263,Island,AGTRAP;AGTRAP;AGTRAP;AGTRAP;AGTRAP,NM_001040194;NM_001040195;NM_001040197;NM_020350;NM_001040196,TSS200;TSS200;TSS200;TSS200;TSS200
cg13890435,chr2,73460655,-,I,chr2:73460085-73461867,Island,CCT7;CCT7;CCT7;CCT7;C2orf7;CCT7;CCT7,NM_001166284;NR_029402;NM_001009570;NM_006429;NM_032319;NR_029403;NM_001166285,TSS1500;TSS1500;TSS1500;TSS1500;TSS1500;TSS1500;TSS1500
cg13894163,chr9,136932022,-,I,,OpenSea,BRD3,NM_007371,5'UTR
cg13895172,chr22,31885298,+,I,chr22:31885140-31886292,Island,EIF4ENIF1;EIF4ENIF1;EIF4ENIF1,NM_001164502;NM_001164501;NM_019843,5'UTR;5'UTR;5'UTR
cg13896402,chr10,120840893,+,I,chr10:120839592-120840480,S_Shore,EIF3A,NM_003750,TSS1500
cg13898470,chr1,6688607,+,I,chr1:6685071-6685691,S_Shelf,THAP3,NM_138350,Body
cg13905264,chr9,132020949,-,I,chr9:132020629-132021038,Island,,,
cg13906236,chr1,227916065,-,I,chr1:227916425-227916736,N_Shore,LOC100130093;LOC100130093,NR_024486;NR_024485,TSS200;TSS200
cg13909909,chr9,113019184,-,I,chr9:113017745-113019297,Island,TXN,NM_003329,TSS1500
cg13910484,chr9,80851062,-,I,chr9:80850833-80851434,Island,CEP78;CEP78;CEP78;CEP78,NM_001098802;NM_032171;NM_001098802;NM_032171,1stExon;5'UTR;5'UTR;1stExon
cg13912011,chr9,36572901,+,I,chr9:36572703-36573073,Island,MELK,NM_014791,TSS200
cg13916740,chr19,56904997,-,I,chr19:56904636-56905355,Island,ZNF582,NM_144690,TSS200
cg13919496,chr22,42915677,+,I,chr22:42915512-42915999,Island,RRP7A,NM_015703,Body
cg13924988,chr5,95997723,+,I,chr5:95997717-95999117,Island,CAST;CAST;CAST;CAST;CAST,NM_001042441;NM_001042440;NM_173063;NM_001042442;NM_001750,TSS1500;TSS1500;TSS1500;TSS1500;TSS1500
cg13925683,chr2,219135231,-,I,chr2:219134787-219135393,Island,PNKD;PNKD;PNKD;AAMP;PNKD,NM_001077399;NM_015488;NM_015488;NM_001087;NM_001077399,5'UTR;1stExon;5'UTR;TSS1500;1stExon
cg13925890,chr5,170863162,+,I,,OpenSea,FGF18,NM_003862,Body
cg13932375,chr9,138798603,+,I,chr9:138798462-138800325,Island,CAMSAP1,NM_015447,Body
cg13932603,chr9,90112530,-,I,chr9:90112514-90113817,Island,DAPK1,NM_004938,TSS1500
cg13934266,chr15,52029533,+,I,chr15:52029230-52030135,Island,LYSMD2;LYSMD2,NM_153374;NM_001143917,Body;5'UTR
cg13943249,chr1,154244918,+,I,chr1:154244710-154245289,Island,HAX1;HAX1,NM_001018837;NM_006118,TSS200;TSS200
cg13945644,chr19,17559467,-,I,chr19:17558917-17559679,Island,,,
cg13946860,chr20,35807510,-,I,chr20:35807409-35808043,Island,RPN2;RPN2;C20orf132;RPN2;C20orf132;RPN2;C20orf132,NM_002951;NM_002951;NM_213632;NM_001135771;NM_213631;NM_001135771;NM_152503,1stExon;5'UTR;Body;5'UTR;Body;1stExon;Body
cg13949903,chr17,74349974,+,I,chr17:74349151-74350656,Island,PRPSAP1;PRPSAP1,NM_002766;NM_002766,1stExon;5'UTR
cg13950210,chr1,45452319,-,I,chr1:45452037-45452444,Island,EIF2B3;EIF2B3;EIF2B3;EIF2B3,NM_020365;NM_001166588;NM_001166588;NM_020365,1stExon;5'UTR;1stExon;5'UTR
cg13957198,chr7,559649,+,I,chr7:556611-562845,Island,PDGFA;PDGFA,NM_033023;NM_002607,TSS200;TSS200
cg13959088,chr3,13035351,+,I,chr3:13034850-13036687,Island,IQSEC1,NM_001134382,Body
cg13961449,chr6,28317762,+,I,,OpenSea,ZKSCAN3;ZNF323;ZKSCAN3;ZNF323,NM_024493;NM_001135215;NM_024493;NM_145909,1stExon;5'UTR;5'UTR;5'UTR
cg13968182,chr19,11616659,+,I,chr19:11616031-11616847,Island,ZNF653,NM_138783,TSS200
