"tissue","cgid","median","mean","var","sd","chr","pos","strand","Type","Islands_Name","Relation_to_Island","UCSC_RefGene_Name","UCSC_RefGene_Accession","UCSC_RefGene_Group"
"brain","cg16812352",0.644,0.647,0.006,0.08,"chr16",4049855,"-","II","","OpenSea","ADCY9","NM_001116","Body"
"brain","cg26668872",0.893,0.881,0.003,0.053,"chr16",3546216,"+","II","chr16:3546366-3546769","N_Shore","C16orf90","NM_001080524","TSS1500"
"brain","cg26783146",0.278,0.283,0.004,0.064,"chr16",4423632,"+","II","chr16:4421642-4422240","S_Shore","VASN;CORO7","NM_138440;NM_024535","5'UTR;Body"
"brain","cg26955755",0.917,0.914,0.002,0.04,"chr16",2497840,"+","II","","OpenSea","CCNF","NM_001761","Body"
"brain","cg27116046",0.885,0.881,0.002,0.042,"chr16",15693294,"-","II","","OpenSea","KIAA0430","NM_014647","Body"
"brain","cg27326306",0.468,0.459,0.014,0.117,"chr16",66442374,"+","II","chr16:66440502-66440958","S_Shore","","",""
"brain","cg27333547",0.861,0.838,0.003,0.057,"chr16",88106229,"-","II","chr16:88106774-88107337","N_Shore","BANP;BANP","NM_017869;NM_079837","Body;Body"
"brain","cg27516584",0.874,0.864,0.003,0.058,"chr16",88712750,"+","II","chr16:88709525-88710015","S_Shelf","CYBA","NM_000101","Body"
"brain","cg27586417",0.906,0.898,0.003,0.056,"chr16",85577800,"-","II","","OpenSea","","",""
"brain","cg27647755",0.865,0.858,0.003,0.057,"chr16",85209312,"-","II","","OpenSea","","",""
"brain","cg00050312",0.039,0.051,0.002,0.042,"chr17",64299065,"+","II","chr17:64298047-64299617","Island","PRKCA","NM_002737","1stExon"
"brain","cg00158333",0.052,0.053,0.001,0.035,"chr17",47075855,"-","II","chr17:47072820-47076042","Island","IGF2BP1;IGF2BP1","NM_006546;NM_001160423","Body;Body"
"brain","cg00170799",0.901,0.884,0.004,0.062,"chr17",13927815,"-","II","","OpenSea","CDRT15P","NR_003261","Body"
"brain","cg00367659",0.079,0.091,0.002,0.045,"chr17",33288544,"-","II","chr17:33288174-33288913","Island","CCT6B;ZNF830","NM_006584;NM_052857","TSS200;TSS200"
"brain","cg00516966",0.491,0.507,0.006,0.074,"chr17",19651653,"+","II","chr17:19648139-19648492","S_Shelf","ALDH3A1;ALDH3A1","NM_000691;NM_000691","5'UTR;1stExon"
"brain","cg00562905",0.059,0.068,0.001,0.036,"chr17",42634144,"+","II","chr17:42634829-42636851","N_Shore","FZD2","NM_001466","TSS1500"
"brain","cg01257345",0.888,0.882,0.002,0.04,"chr17",26655561,"+","II","","OpenSea","IFT20;TMEM97","NM_174887;NM_014573","3'UTR;3'UTR"
"brain","cg01638185",0.527,0.524,0.008,0.088,"chr17",64530027,"-","II","","OpenSea","PRKCA","NM_002737","Body"
"brain","cg01934064",0.787,0.764,0.009,0.097,"chr17",44064242,"+","II","chr17:44060246-44060530","S_Shelf","MAPT;MAPT;MAPT;MAPT;MAPT;MAPT","NM_016835;NM_001123067;NM_016834;NM_005910;NM_001123066;NM_016841","Body;Body;Body;Body;Body;Body"
"brain","cg02271139",0.36,0.364,0.004,0.064,"chr17",79110023,"+","II","chr17:79109698-79109911","S_Shore","AATK","NM_001080395","Body"
"brain","cg02442640",0.526,0.526,0.005,0.07,"chr17",75451779,"+","II","chr17:75447477-75447821","S_Shelf","SEPT9;SEPT9;SEPT9;SEPT9;SEPT9;SEPT9","NM_001113492;NM_001113496;NM_001113493;NM_001113491;NM_006640;NM_001113494","Body;5'UTR;Body;Body;Body;Body"
"brain","cg02699518",0.902,0.891,0.004,0.066,"chr17",64709756,"+","II","","OpenSea","PRKCA","NM_002737","Body"
"brain","cg02841895",0.578,0.585,0.007,0.084,"chr17",74942714,"+","II","chr17:74944745-74944971","N_Shelf","MGAT5B;MGAT5B","NM_144677;NM_198955","Body;Body"
"brain","cg02943074",0.792,0.788,0.004,0.06,"chr17",79906185,"-","II","","OpenSea","MYADML2","NM_001145113","TSS1500"
"brain","cg02970545",0.898,0.894,0.002,0.044,"chr17",73520192,"+","II","chr17:73520956-73522540","N_Shore","TSEN54","NM_207346","Body"
"brain","cg03915738",0.662,0.661,0.005,0.07,"chr17",43651976,"-","II","","OpenSea","","",""
"brain","cg03958863",0.935,0.932,0.002,0.043,"chr17",72363500,"+","II","","OpenSea","GPR142","NM_181790","TSS200"
"brain","cg04503457",0.12,0.136,0.004,0.06,"chr17",41445688,"-","II","chr17:41446166-41446547","N_Shore","","",""
"brain","cg05162031",0.686,0.69,0.007,0.085,"chr17",850367,"-","II","chr17:850207-850500","Island","NXN","NM_022463","Body"
"brain","cg06064179",0.804,0.752,0.026,0.16,"chr17",62829976,"+","II","chr17:62832769-62833528","N_Shelf","PLEKHM1P","NR_024386","Body"
"brain","cg06331682",0.91,0.899,0.003,0.055,"chr17",39212764,"-","II","","OpenSea","KRTAP2-2","NM_033032","TSS1500"
"brain","cg06401914",0.888,0.885,0.001,0.036,"chr17",77537585,"-","II","","OpenSea","","",""
"brain","cg06723357",0.678,0.665,0.007,0.084,"chr17",55981642,"+","II","","OpenSea","CUEDC1","NM_017949","TSS1500"
"brain","cg06767314",0.609,0.614,0.006,0.074,"chr17",1085381,"-","II","chr17:1082376-1083833","S_Shore","ABR","NM_001159746","5'UTR"
"brain","cg06805880",0.871,0.867,0.002,0.042,"chr17",27401144,"+","II","","OpenSea","MYO18A;MYO18A;TIAF1","NM_078471;NM_203318;NM_004740","3'UTR;3'UTR;1stExon"
"brain","cg06857116",0.886,0.88,0.001,0.037,"chr17",15885326,"+","II","","OpenSea","ZSWIM7;ZSWIM7","NM_001042698;NM_001042697","Body;Body"
"brain","cg07155381",0.37,0.373,0.004,0.065,"chr17",180856,"-","II","","OpenSea","RPH3AL","NM_006987","5'UTR"
"brain","cg07159758",0.807,0.799,0.004,0.061,"chr17",55474061,"+","II","","OpenSea","MSI2;MSI2","NM_138962;NM_170721","Body;Body"
"brain","cg07285953",0.849,0.853,0.002,0.045,"chr17",27572551,"+","II","","OpenSea","CRYBA1","NM_005208","TSS1500"
"brain","cg07377994",0.289,0.296,0.005,0.073,"chr17",55533142,"+","II","","OpenSea","MSI2;MSI2","NM_138962;NM_170721","Body;Body"
"brain","cg07470001",0.839,0.837,0.006,0.074,"chr17",850499,"+","II","chr17:850207-850500","Island","NXN","NM_022463","Body"
"brain","cg07591186",0.648,0.655,0.004,0.066,"chr17",41178024,"-","II","chr17:41176670-41176966","S_Shore","RND2","NM_005440","Body"
"brain","cg08001592",0.052,0.062,0.002,0.039,"chr17",48350867,"+","II","chr17:48350422-48350832","S_Shore","TMEM92;TMEM92","NM_153229;NM_001168215","TSS1500;5'UTR"
"brain","cg08487100",0.726,0.721,0.006,0.075,"chr17",72442179,"+","II","chr17:72442927-72443194","N_Shore","GPRC5C;GPRC5C","NM_018653;NM_022036","Body;Body"
"brain","cg08562099",0.711,0.699,0.006,0.077,"chr17",55389809,"-","II","","OpenSea","MSI2;MSI2","NM_138962;NM_170721","Body;Body"
"brain","cg08590359",0.34,0.343,0.004,0.061,"chr17",3641885,"+","II","","OpenSea","ITGAE","NM_002208","Body"
"brain","cg08778851",0.542,0.532,0.005,0.07,"chr17",29888936,"-","II","chr17:29885900-29887377","S_Shore","","",""
"brain","cg08984900",0.86,0.844,0.004,0.061,"chr17",34430281,"-","II","","OpenSea","CCL4","NM_002984","TSS1500"
"brain","cg09036203",0.072,0.084,0.002,0.042,"chr17",35715797,"-","II","chr17:35715796-35716627","Island","ACACA;ACACA;ACACA","NM_198839;NM_198834;NM_198836","5'UTR;Body;5'UTR"
"brain","cg09123951",0.899,0.894,0.003,0.053,"chr17",72564220,"+","II","","OpenSea","","",""
"brain","cg09696465",0.675,0.67,0.004,0.061,"chr17",70934769,"+","II","","OpenSea","SLC39A11;SLC39A11","NM_001159770;NM_139177","Body;Body"
"brain","cg10728503",0.754,0.746,0.004,0.063,"chr17",56294088,"+","II","chr17:56296488-56296842","N_Shelf","MKS1;MKS1","NM_017777;NM_001165927","Body;Body"
"brain","cg11317019",0.05,0.061,0.001,0.037,"chr17",42219250,"-","II","chr17:42219153-42219616","Island","C17orf53;C17orf53","NM_024032;NM_001171251","TSS200;TSS200"
"brain","cg11348106",0.268,0.282,0.008,0.091,"chr17",75208807,"-","II","chr17:75209459-75209672","N_Shore","SEC14L1;SEC14L1;SEC14L1;SEC14L1;SEC14L1","NM_001143999;NM_003003;NM_001143998;NM_001039573;NM_001144001","Body;Body;Body;Body;Body"
"brain","cg12028455",0.74,0.734,0.005,0.072,"chr17",78789078,"+","II","chr17:78789590-78789832","N_Shore","RPTOR;RPTOR","NM_001163034;NM_020761","Body;Body"
"brain","cg12311094",0.754,0.749,0.004,0.063,"chr17",72581081,"+","II","","OpenSea","C17orf77;C17orf77;CD300LD","NM_152460;NM_152460;NM_001115152","5'UTR;1stExon;Body"
"brain","cg12397433",0.057,0.066,0.001,0.037,"chr17",34842221,"+","II","chr17:34842308-34842930","N_Shore","ZNHIT3","NM_004773","TSS1500"
"brain","cg12899248",0.894,0.891,0.001,0.037,"chr17",15845357,"+","II","chr17:15847757-15849513","N_Shelf","","",""
"brain","cg13282068",0.925,0.922,0.001,0.036,"chr17",73360252,"-","II","","OpenSea","GRB2;GRB2","NM_002086;NM_203506","Body;Body"
"brain","cg13400969",0.876,0.863,0.003,0.053,"chr17",44087762,"-","II","","OpenSea","MAPT;MAPT;MAPT;MAPT;MAPT;MAPT","NM_016835;NM_001123067;NM_016834;NM_005910;NM_001123066;NM_016841","Body;Body;Body;Body;Body;Body"
"brain","cg13672501",0.611,0.616,0.009,0.094,"chr17",27410685,"+","II","chr17:27406753-27408059","S_Shelf","MYO18A;MYO18A","NM_078471;NM_203318","Body;Body"
"brain","cg13852234",0.887,0.882,0.001,0.036,"chr17",7952192,"+","II","","OpenSea","ALOX15B;ALOX15B;ALOX15B","NM_001039130;NM_001141;NM_001039131","3'UTR;3'UTR;3'UTR"
"brain","cg14281612",0.871,0.864,0.002,0.045,"chr17",11786105,"+","II","","OpenSea","DNAH9;DNAH9","NM_004662;NM_001372","TSS200;Body"
"brain","cg14794027",0.666,0.634,0.011,0.103,"chr17",15336968,"-","II","","OpenSea","","",""
"brain","cg15103564",0.091,0.103,0.002,0.039,"chr17",74068850,"-","II","chr17:74070404-74073530","N_Shore","SRP68","NM_014230","TSS1500"
"brain","cg15224459",0.77,0.762,0.004,0.063,"chr17",81042023,"+","II","chr17:81042626-81043244","N_Shore","METRNL","NM_001004431","Body"
"brain","cg16093048",0.062,0.07,0.002,0.043,"chr17",20059054,"+","II","chr17:20059028-20060060","Island","CYTSB;CYTSB;CYTSB;CYTSB","NM_152904;NM_001033555;NM_001033554;NM_001033553","Body;TSS1500;TSS1500;Body"
"brain","cg16124601",0.915,0.91,0.001,0.035,"chr17",80096774,"+","II","","OpenSea","CCDC57","NM_198082","Body"
"brain","cg16183741",0.859,0.851,0.002,0.049,"chr17",80861122,"-","II","chr17:80863327-80863743","N_Shelf","TBCD","NM_005993","Body"
"brain","cg16568256",0.525,0.55,0.012,0.108,"chr17",72400209,"-","II","","OpenSea","","",""
"brain","cg16598730",0.746,0.737,0.004,0.061,"chr17",17920063,"+","II","","OpenSea","LRRC48;LRRC48","NM_031294;NM_001130090","3'UTR;3'UTR"
"brain","cg16755038",0.259,0.261,0.004,0.067,"chr17",55939089,"-","II","chr17:55939088-55939591","Island","","",""
"brain","cg16827186",0.047,0.057,0.001,0.036,"chr17",66243994,"-","II","chr17:66243583-66244403","Island","AMZ2;AMZ2;AMZ2;AMZ2;AMZ2;AMZ2","NM_001033574;NM_001033570;NM_001033572;NM_001033569;NM_001033571;NM_016627","TSS200;TSS200;TSS200;TSS200;TSS200;TSS200"
"brain","cg16831440",0.777,0.777,0.004,0.062,"chr17",700672,"+","II","","OpenSea","","",""
"brain","cg17415381",0.852,0.827,0.007,0.082,"chr17",61514690,"+","II","chr17:61514752-61515386","N_Shore","CYB561;CYB561;CYB561","NM_001017916;NM_001017917;NM_001915","Body;Body;Body"
"brain","cg18403478",0.85,0.845,0.002,0.049,"chr17",1683424,"-","II","","OpenSea","SMYD4","NM_052928","3'UTR"
"brain","cg18490846",0.694,0.689,0.006,0.078,"chr17",48845722,"+","II","","OpenSea","C17orf73","NR_024626","TSS1500"
"brain","cg18574003",0.802,0.788,0.005,0.068,"chr17",39523693,"-","II","","OpenSea","KRT33B","NM_002279","Body"
"brain","cg18713166",0.616,0.61,0.005,0.07,"chr17",17106839,"+","II","chr17:17108771-17109701","N_Shore","PLD6","NM_178836","Body"
"brain","cg18815595",0.888,0.883,0.001,0.036,"chr17",78925807,"-","II","chr17:78921897-78922233","S_Shelf","RPTOR;RPTOR","NM_001163034;NM_020761","Body;Body"
"brain","cg19054815",0.048,0.059,0.002,0.042,"chr17",2496733,"-","II","chr17:2496493-2498023","Island","PAFAH1B1","NM_000430","TSS200"
"brain","cg19457506",0.103,0.118,0.002,0.045,"chr17",43099559,"+","II","chr17:43099129-43099568","Island","","",""
"brain","cg20661083",0.861,0.857,0.002,0.048,"chr17",75211786,"-","II","chr17:75209459-75209672","S_Shelf","SEC14L1;SEC14L1;SEC14L1;SEC14L1;SEC14L1","NM_003003;NM_001143999;NM_001143998;NM_001144001;NM_001039573","3'UTR;3'UTR;3'UTR;3'UTR;Body"
"brain","cg20687875",0.402,0.404,0.004,0.063,"chr17",26647213,"-","II","chr17:26645290-26645614","S_Shore","TMEM97","NM_014573","Body"
"brain","cg21022776",0.938,0.932,0.001,0.037,"chr17",2813462,"-","II","","OpenSea","RAP1GAP2;RAP1GAP2","NM_015085;NM_001100398","Body;Body"
"brain","cg21034531",0.809,0.797,0.004,0.065,"chr17",80197757,"+","II","chr17:80195043-80195866","S_Shore","","",""
"brain","cg21134506",0.745,0.728,0.006,0.076,"chr17",80830766,"-","II","chr17:80829533-80829871","S_Shore","TBCD","NM_005993","Body"
"brain","cg21156912",0.878,0.87,0.004,0.067,"chr17",80847546,"+","II","","OpenSea","TBCD","NM_005993","Body"
"brain","cg21721973",0.887,0.877,0.002,0.041,"chr17",8633408,"+","II","","OpenSea","CCDC42;CCDC42","NM_001158261;NM_144681","3'UTR;3'UTR"
"brain","cg21778328",0.926,0.922,0.001,0.036,"chr17",7402611,"-","II","","OpenSea","POLR2A","NM_000937","Body"
"brain","cg21870038",0.127,0.137,0.004,0.061,"chr17",33390736,"-","II","","OpenSea","RFFL;RFFL;RFFL","NM_001017368;NM_057178;NM_001017368","1stExon;5'UTR;5'UTR"
"brain","cg22033316",0.943,0.936,0.002,0.041,"chr17",73271766,"-","II","chr17:73266340-73268052","S_Shelf","SLC25A19;SLC25A19;SLC25A19","NM_001126121;NM_001126122;NM_021734","Body;Body;Body"
"brain","cg22218543",0.227,0.237,0.005,0.073,"chr17",47393136,"+","II","","OpenSea","ZNF652;ZNF652","NM_001145365;NM_014897","Body;Body"
"brain","cg22430734",0.055,0.066,0.002,0.042,"chr17",35849794,"-","II","chr17:35849290-35850483","Island","DUSP14","NM_007026","TSS200"
"brain","cg22590099",0.431,0.436,0.004,0.066,"chr17",19010810,"+","II","chr17:19014144-19014604","N_Shelf","","",""
"brain","cg22791700",0.836,0.839,0.003,0.052,"chr17",5490686,"-","II","","OpenSea","","",""
"brain","cg22912922",0.535,0.548,0.004,0.063,"chr17",19408817,"-","II","chr17:19410595-19411377","N_Shore","","",""
"brain","cg23253428",0.626,0.632,0.004,0.065,"chr17",47274236,"-","II","chr17:47269331-47270434","S_Shelf","","",""
"brain","cg23290146",0.48,0.485,0.004,0.065,"chr17",25958303,"+","II","","OpenSea","LGALS9;LGALS9;LGALS9","NR_024043;NM_009587;NM_002308","Body;1stExon;1stExon"
"brain","cg23551722",0.739,0.692,0.018,0.135,"chr17",6546898,"+","II","chr17:6543354-6544563","S_Shelf","TXNDC17;MED31","NM_032731;NM_016060","3'UTR;3'UTR"
"brain","cg24063238",0.04,0.05,0.002,0.04,"chr17",56085336,"+","II","chr17:56083750-56085373","Island","SFRS1;SFRS1","NM_001078166;NM_006924","TSS1500;TSS1500"
"brain","cg24211657",0.674,0.669,0.006,0.076,"chr17",76886742,"-","II","","OpenSea","TIMP2","NM_003255","Body"
"brain","cg24916224",0.875,0.872,0.002,0.039,"chr17",79652748,"-","II","chr17:79650194-79651447","S_Shore","HGS","NM_004712","Body"
"brain","cg24989577",0.866,0.86,0.002,0.049,"chr17",59470156,"+","II","chr17:59473060-59483266","N_Shelf","BCAS3;BCAS3","NM_017679;NM_001099432","3'UTR;3'UTR"
"brain","cg25181941",0.088,0.098,0.002,0.041,"chr17",40805728,"+","II","chr17:40805674-40805957","Island","","",""
"brain","cg25248278",0.798,0.79,0.006,0.077,"chr17",38696507,"+","II","","OpenSea","","",""
"brain","cg25288675",0.71,0.71,0.005,0.07,"chr17",76797750,"+","II","chr17:76798154-76798461","N_Shore","USP36","NM_025090","Body"
"brain","cg25397111",0.613,0.607,0.005,0.068,"chr17",2592953,"-","II","chr17:2593028-2594044","N_Shore","KIAA0664","NM_015229","3'UTR"
"brain","cg25582403",0.08,0.091,0.002,0.041,"chr17",37844421,"-","II","chr17:37844112-37844481","Island","ERBB2;ERBB2;PGAP3","NM_001005862;NM_001005862;NM_033419","5'UTR;1stExon;TSS200"
"brain","cg25856379",0.578,0.578,0.005,0.073,"chr17",56036808,"-","II","chr17:56031843-56033160","S_Shelf","","",""
"brain","cg25986678",0.82,0.809,0.004,0.061,"chr17",79132083,"+","II","chr17:79131879-79132084","Island","AATK","NM_001080395","Body"
"brain","cg26279829",0.093,0.1,0.002,0.043,"chr17",1394153,"+","II","chr17:1394439-1394813","N_Shore","MYO1C;MYO1C","NM_033375;NM_001080779","5'UTR;Body"
"brain","cg26409566",0.672,0.665,0.005,0.069,"chr17",80271578,"-","II","","OpenSea","","",""
"brain","cg27025137",0.651,0.653,0.005,0.069,"chr17",70715578,"+","II","","OpenSea","SLC39A11;SLC39A11","NM_001159770;NM_139177","Body;Body"
"brain","cg27438832",0.646,0.643,0.006,0.077,"chr17",77919434,"-","II","chr17:77917587-77917885","S_Shore","TBC1D16","NM_019020","Body"
"brain","cg27574244",0.09,0.1,0.001,0.037,"chr17",80709357,"-","II","chr17:80709052-80710843","Island","TBCD","NM_005993","TSS1500"
"brain","cg00526387",0.879,0.873,0.002,0.046,"chr18",54875570,"+","II","","OpenSea","","",""
"brain","cg01200389",0.926,0.917,0.001,0.038,"chr18",76123613,"-","II","chr18:76123612-76123926","Island","","",""
"brain","cg01628954",0.073,0.081,0.001,0.035,"chr18",60190696,"-","II","chr18:60189509-60192109","Island","ZCCHC2","NM_017742","1stExon"
"brain","cg02776300",0.793,0.782,0.006,0.08,"chr18",10415698,"+","II","chr18:10414354-10414592","S_Shore","","",""
"brain","cg05490642",0.049,0.059,0.001,0.038,"chr18",12658233,"-","II","chr18:12657044-12658727","Island","SPIRE1;SPIRE1","NM_020148;NM_001128626","TSS1500;TSS1500"
"brain","cg07000989",0.052,0.054,0.002,0.04,"chr18",33709734,"-","II","chr18:33708919-33710236","Island","ELP2;SLC39A6;SLC39A6","NM_018255;NM_001099406;NM_012319","TSS200;TSS1500;TSS1500"
"brain","cg07352016",0.897,0.889,0.001,0.036,"chr18",55250568,"+","II","chr18:55253544-55254093","N_Shelf","FECH;FECH","NM_001012515;NM_000140","Body;Body"
"brain","cg14572895",0.834,0.818,0.004,0.064,"chr18",61368902,"+","II","","OpenSea","SERPINB11","NM_080475","TSS1500"
"brain","cg14939475",0.703,0.691,0.006,0.076,"chr18",61653588,"-","II","","OpenSea","SERPINB8;SERPINB8;SERPINB8","NM_001031848;NM_002640;NM_198833","3'UTR;Body;Body"
"brain","cg15698842",0.062,0.071,0.001,0.037,"chr18",25755641,"+","II","chr18:25755414-25758175","Island","CDH2","NM_001792","Body"
"brain","cg17174613",0.575,0.577,0.005,0.071,"chr18",77631625,"+","II","chr18:77631560-77631777","Island","KCNG2","NM_012283","Body"
"brain","cg18036068",0.805,0.791,0.004,0.065,"chr18",73122565,"-","II","","OpenSea","C18orf62","NM_001037331","3'UTR"
"brain","cg18885289",0.898,0.884,0.002,0.047,"chr18",76984682,"-","II","chr18:76985514-76985929","N_Shore","ATP9B","NM_198531","Body"
"brain","cg18959473",0.035,0.045,0.001,0.039,"chr18",159310,"+","II","chr18:158278-159311","Island","USP14;USP14","NM_001037334;NM_005151","Body;Body"
"brain","cg22557240",0.453,0.458,0.004,0.066,"chr18",77307537,"-","II","chr18:77308074-77308815","N_Shore","","",""
"brain","cg26910047",0.905,0.897,0.002,0.041,"chr18",77234438,"-","II","chr18:77233326-77236398","Island","NFATC1;NFATC1;NFATC1;NFATC1","NM_006162;NM_172388;NM_172389;NM_172387","Body;Body;Body;Body"
"brain","cg00032701",0.463,0.471,0.006,0.079,"chr19",7911195,"-","II","chr19:7912629-7912895","N_Shore","EVI5L;EVI5L","NM_145245;NM_001159944","5'UTR;TSS200"
"brain","cg00742121",0.302,0.291,0.004,0.064,"chr19",34112304,"-","II","chr19:34112279-34114353","Island","CHST8;CHST8","NM_001127895;NM_001127896","TSS1500;TSS1500"
"brain","cg01227084",0.711,0.708,0.008,0.09,"chr19",2774520,"-","II","chr19:2774196-2774550","Island","SGTA","NM_003021","5'UTR"
"brain","cg01566169",0.855,0.845,0.003,0.053,"chr19",475344,"-","II","","OpenSea","ODF3L2","NM_182577","TSS1500"
"brain","cg02844051",0.792,0.788,0.005,0.072,"chr19",36004233,"+","II","","OpenSea","DMKN;DMKN;DMKN;DMKN","NM_001126058;NM_001126056;NM_033317;NM_001126057","1stExon;1stExon;1stExon;1stExon"
"brain","cg03539051",0.743,0.756,0.004,0.061,"chr19",56418660,"-","II","","OpenSea","NLRP13","NM_176810","Body"
"brain","cg03575614",0.911,0.899,0.002,0.045,"chr19",58297473,"-","II","chr19:58297472-58298118","Island","","",""
"brain","cg03585323",0.863,0.862,0.003,0.058,"chr19",2244196,"-","II","chr19:2246820-2247035","N_Shelf","SF3A2","NM_007165","Body"
"brain","cg05629669",0.914,0.909,0.001,0.037,"chr19",40340835,"+","II","chr19:40336877-40337211","S_Shelf","","",""
"brain","cg05934824",0.698,0.695,0.006,0.074,"chr19",45209722,"-","II","chr19:45211114-45211328","N_Shore","CEACAM16","NM_001039213","Body"
"brain","cg06623668",0.457,0.461,0.009,0.092,"chr19",13138816,"-","II","chr19:13135317-13136169","S_Shelf","NFIX","NM_002501","Body"
"brain","cg06884262",0.09,0.093,0.002,0.04,"chr19",6425638,"-","II","chr19:6425485-6425843","Island","KHSRP","NM_003685","TSS1500"
"brain","cg07564563",0.566,0.562,0.006,0.075,"chr19",3548977,"-","II","chr19:3547928-3548339","S_Shore","C19orf28;C19orf28;C19orf28","NM_001042680;NM_021731;NM_174983","Body;Body;Body"
"brain","cg08181476",0.131,0.152,0.004,0.065,"chr19",19322676,"-","II","chr19:19322675-19322916","Island","NCAN","NM_004386","TSS200"
"brain","cg08371682",0.916,0.913,0.002,0.039,"chr19",40311424,"+","II","chr19:40314926-40315144","N_Shelf","","",""
"brain","cg08526140",0.749,0.74,0.007,0.083,"chr19",53693063,"+","II","chr19:53696029-53696650","N_Shelf","ZNF665","NM_024733","5'UTR"
"brain","cg09618387",0.767,0.759,0.005,0.068,"chr19",50267850,"-","II","chr19:50269632-50270505","N_Shore","TSKS","NM_021733","TSS1500"
"brain","cg10133935",0.937,0.931,0.002,0.041,"chr19",1423753,"-","II","chr19:1423752-1424006","Island","DAZAP1;DAZAP1","NM_018959;NM_170711","Body;Body"
"brain","cg10719346",0.794,0.783,0.004,0.064,"chr19",2866899,"+","II","","OpenSea","ZNF556","NM_024967","TSS1500"
"brain","cg12478793",0.753,0.752,0.004,0.06,"chr19",37261338,"-","II","chr19:37263381-37264083","N_Shelf","","",""
"brain","cg12494332",0.876,0.867,0.002,0.044,"chr19",34987222,"-","II","chr19:34988748-34988951","N_Shore","WTIP","NM_001080436","Body"
"brain","cg12589994",0.898,0.892,0.001,0.037,"chr19",38099569,"+","II","","OpenSea","ZNF540","NM_152606","Body"
"brain","cg13533142",0.903,0.893,0.001,0.037,"chr19",2255493,"+","II","chr19:2250560-2253959","S_Shore","JSRP1","NM_144616","TSS200"
"brain","cg14054120",0.061,0.074,0.001,0.038,"chr19",41945352,"-","II","chr19:41945690-41945904","N_Shore","ATP5SL;ATP5SL;ATP5SL;ATP5SL;ATP5SL;ATP5SL;ATP5SL","NM_001167869;NR_030765;NM_001167867;NM_001167868;NM_001167870;NM_018035;NM_001167871","Body;Body;Body;Body;Body;Body;Body"
"brain","cg14125846",0.878,0.874,0.002,0.04,"chr19",39439181,"+","II","chr19:39440404-39441011","N_Shore","FBXO17;FBXO17","NM_024907;NM_148169","Body;Body"
"brain","cg14864365",0.881,0.878,0.002,0.042,"chr19",6008033,"-","II","chr19:6007829-6008225","Island","RFX2;RFX2","NM_000635;NM_134433","Body;Body"
"brain","cg14914220",0.225,0.23,0.004,0.061,"chr19",30897573,"-","II","","OpenSea","ZNF536","NM_014717","5'UTR"
"brain","cg16612100",0.043,0.055,0.002,0.046,"chr19",36236496,"-","II","chr19:36235807-36236548","Island","U2AF1L4;PSENEN;PSENEN;U2AF1L4","NM_144987;NM_172341;NM_172341;NM_001040425","TSS200;5'UTR;1stExon;TSS200"
"brain","cg16731452",0.878,0.871,0.002,0.047,"chr19",44679292,"+","II","","OpenSea","ZNF226;ZNF226;ZNF226;ZNF226;ZNF226","NM_001032373;NM_001146220;NM_001032374;NM_001032372;NM_015919","Body;3'UTR;3'UTR;Body;3'UTR"
"brain","cg17464989",0.711,0.672,0.01,0.098,"chr19",2255419,"-","II","chr19:2250560-2253959","S_Shore","JSRP1","NM_144616","TSS200"
"brain","cg17798981",0.916,0.908,0.001,0.036,"chr19",52103425,"+","II","chr19:52104418-52104998","N_Shore","","",""
"brain","cg18405260",0.896,0.889,0.001,0.039,"chr19",49174391,"+","II","chr19:49173600-49173806","S_Shore","SEC1;NTN5","NR_004401;NM_145807","Body;5'UTR"
"brain","cg18480705",0.851,0.834,0.004,0.064,"chr19",2761666,"-","II","chr19:2761665-2761909","Island","SGTA","NM_003021","Body"
"brain","cg18570262",0.882,0.879,0.002,0.04,"chr19",11037971,"+","II","chr19:11038956-11040285","N_Shore","YIPF2;C19orf52","NM_024029;NM_138358","Body;TSS1500"
"brain","cg18595756",0.91,0.903,0.002,0.048,"chr19",17211623,"-","II","chr19:17212479-17213332","N_Shore","MYO9B;MYO9B","NM_004145;NM_001130065","5'UTR;5'UTR"
"brain","cg18997662",0.041,0.052,0.001,0.038,"chr19",11877947,"-","II","chr19:11877720-11878280","Island","ZNF441;ZNF441","NM_152355;NM_152355","1stExon;5'UTR"
"brain","cg19619036",0.845,0.835,0.003,0.052,"chr19",54021177,"-","II","chr19:54023868-54024560","N_Shelf","","",""
"brain","cg20631044",0.638,0.625,0.004,0.064,"chr19",41255890,"+","II","chr19:41256317-41257234","N_Shore","C19orf54;SNRPA","NM_198476;NM_004596","TSS200;TSS1500"
"brain","cg22780731",0.434,0.448,0.01,0.101,"chr19",7910811,"+","II","chr19:7912629-7912895","N_Shore","EVI5L;EVI5L","NM_145245;NM_001159944","5'UTR;TSS1500"
"brain","cg22813097",0.906,0.901,0.002,0.048,"chr19",18629910,"-","II","chr19:18632298-18633453","N_Shelf","ELL","NM_006532","Body"
"brain","cg22968175",0.069,0.079,0.002,0.04,"chr19",42721878,"-","II","chr19:42720826-42722132","Island","DEDD2","NM_133328","TSS200"
"brain","cg23292266",0.703,0.705,0.004,0.065,"chr19",11285128,"-","II","chr19:11285122-11285332","Island","KANK2;KANK2","NM_001136191;NM_015493","Body;Body"
